subset,label,person,id,acceleration,time,dimension
train,swiperight,james,13,-21.0,0.1,z
train,swiperight,james,13,-4.0,0.2,x
train,swiperight,james,13,-29.0,0.2,y
train,swiperight,james,13,-16.0,0.2,z
train,swiperight,james,13,-10.0,0.3,x
train,swiperight,james,13,-28.0,0.3,y
train,swiperight,james,13,-12.0,0.3,z
train,swiperight,james,13,-20.0,0.4,x
train,swiperight,james,13,-29.0,0.4,y
train,swiperight,james,13,-5.0,0.4,z
train,swiperight,james,13,-10.0,0.5,x
train,swiperight,james,13,-47.0,0.5,y
train,swiperight,james,13,15.0,0.5,z
train,swiperight,james,13,5.0,0.6,x
train,swiperight,james,13,-40.0,0.6,y
train,swiperight,james,13,-5.0,0.6,z
train,swiperight,james,13,37.0,0.7,x
train,swiperight,james,13,28.0,0.7,y
train,swiperight,james,13,-33.0,0.7,z
train,swiperight,james,13,0.0,0.8,x
train,swiperight,james,13,-5.0,0.8,y
train,swiperight,james,13,-22.0,0.8,z
train,swiperight,james,13,-1.0,0.9,x
train,swiperight,james,13,-15.0,0.9,y
train,swiperight,james,13,-23.0,0.9,z
train,swiperight,james,13,0.0,1.0,x
train,swiperight,james,13,-25.0,1.0,y
train,swiperight,james,13,-24.0,1.0,z
train,swiperight,james,13,0.0,1.1,x
train,swiperight,james,13,-40.0,1.1,y
train,swiperight,james,13,-26.0,1.1,z
train,swiperight,james,14,-14.0,0.0,x
train,swiperight,james,14,-36.0,0.0,y
train,swiperight,james,14,-2.0,0.0,z
train,swiperight,james,14,-18.0,0.1,x
train,swiperight,james,14,-27.0,0.1,y
train,swiperight,james,14,0.0,0.1,z
train,swiperight,james,14,-15.0,0.2,x
train,swiperight,james,14,-40.0,0.2,y
train,swiperight,james,14,-15.0,0.2,z
train,swiperight,james,14,5.0,0.3,x
train,swiperight,james,14,-11.0,0.3,y
train,swiperight,james,14,-26.0,0.3,z
train,swiperight,james,14,-17.0,0.4,x
train,swiperight,james,14,-2.0,0.4,y
train,swiperight,james,14,-36.0,0.4,z
train,swiperight,james,14,-25.0,0.5,x
train,swiperight,james,14,-9.0,0.5,y
train,swiperight,james,14,-21.0,0.5,z
train,swiperight,james,14,-22.0,0.6,x
train,swiperight,james,14,-8.0,0.6,y
train,swiperight,james,14,-21.0,0.6,z
train,swiperight,james,14,-23.0,0.7,x
train,swiperight,james,14,-3.0,0.7,y
train,swiperight,james,14,-19.0,0.7,z
train,swiperight,james,14,-23.0,0.8,x
train,swiperight,james,14,-3.0,0.8,y
train,swiperight,james,14,-21.0,0.8,z
train,swiperight,james,14,-23.0,0.9,x
train,swiperight,james,14,-3.0,0.9,y
train,swiperight,james,14,-21.0,0.9,z
train,swiperight,james,14,-21.0,1.0,x
train,swiperight,james,14,-4.0,1.0,y
train,swiperight,james,14,-21.0,1.0,z
train,swiperight,james,15,-12.0,0.0,x
train,swiperight,james,15,-15.0,0.0,y
train,swiperight,james,15,-10.0,0.0,z
train,swiperight,james,15,-21.0,0.1,x
train,swiperight,james,15,-15.0,0.1,y
train,swiperight,james,15,-12.0,0.1,z
train,swiperight,james,15,-25.0,0.2,x
train,swiperight,james,15,-19.0,0.2,y
train,swiperight,james,15,-14.0,0.2,z
train,swiperight,james,15,-22.0,0.3,x
train,swiperight,james,15,-25.0,0.3,y
train,swiperight,james,15,-10.0,0.3,z
train,swiperight,james,15,-18.0,0.4,x
train,swiperight,james,15,-41.0,0.4,y
train,swiperight,james,15,-4.0,0.4,z
train,swiperight,james,15,-18.0,0.5,x
train,swiperight,james,15,-17.0,0.5,y
train,swiperight,james,15,-22.0,0.5,z
train,swiperight,james,15,1.0,0.6,x
train,swiperight,james,15,46.0,0.6,y
train,swiperight,james,15,-24.0,0.6,z
train,swiperight,james,15,-17.0,0.7,x
train,swiperight,james,15,15.0,0.7,y
train,swiperight,james,15,-27.0,0.7,z
train,swiperight,james,15,-17.0,0.8,x
train,swiperight,james,15,10.0,0.8,y
train,swiperight,james,15,-24.0,0.8,z
train,swiperight,james,15,-19.0,0.9,x
train,swiperight,james,15,9.0,0.9,y
train,swiperight,james,15,-24.0,0.9,z
train,swiperight,james,15,-18.0,1.0,x
train,swiperight,james,15,7.0,1.0,y
train,swiperight,james,15,-24.0,1.0,z
train,swiperight,james,15,-17.0,1.1,x
train,swiperight,james,15,8.0,1.1,y
train,swiperight,james,15,-26.0,1.1,z
train,swiperight,james,16,-16.0,0.0,x
train,swiperight,james,16,-32.0,0.0,y
train,swiperight,james,16,13.0,0.0,z
train,swiperight,james,16,-19.0,0.1,x
train,swiperight,james,16,-22.0,0.1,y
train,swiperight,james,16,16.0,0.1,z
train,swiperight,james,16,-18.0,0.2,x
train,swiperight,james,16,-23.0,0.2,y
train,swiperight,james,16,-6.0,0.2,z
train,swiperight,james,16,-23.0,0.3,x
train,swiperight,james,16,-22.0,0.3,y
train,swiperight,james,16,26.0,0.3,z
train,swiperight,james,16,-19.0,0.4,x
train,swiperight,james,16,-7.0,0.4,y
train,swiperight,james,16,-14.0,0.4,z
train,swiperight,james,16,-27.0,0.5,x
train,swiperight,james,16,-19.0,0.5,y
train,swiperight,james,16,-6.0,0.5,z
train,swiperight,james,16,-24.0,0.6,x
train,swiperight,james,16,-17.0,0.6,y
train,swiperight,james,16,-12.0,0.6,z
train,swiperight,james,16,-22.0,0.7,x
train,swiperight,james,16,-15.0,0.7,y
train,swiperight,james,16,-11.0,0.7,z
train,swiperight,james,16,-23.0,0.8,x
train,swiperight,james,16,-19.0,0.8,y
train,swiperight,james,16,-8.0,0.8,z
train,swiperight,james,16,-19.0,0.9,x
train,swiperight,james,16,-24.0,0.9,y
train,swiperight,james,16,-12.0,0.9,z
train,swiperight,james,16,-18.0,1.0,x
train,swiperight,james,16,-25.0,1.0,y
train,swiperight,james,16,-11.0,1.0,z
train,swiperight,james,17,-10.0,0.0,x
train,swiperight,james,17,-36.0,0.0,y
train,swiperight,james,17,-13.0,0.0,z
train,swiperight,james,17,-11.0,0.1,x
train,swiperight,james,17,-37.0,0.1,y
train,swiperight,james,17,-11.0,0.1,z
train,swiperight,james,17,-16.0,0.2,x
train,swiperight,james,17,-30.0,0.2,y
train,swiperight,james,17,-3.0,0.2,z
train,swiperight,james,17,-12.0,0.3,x
train,swiperight,james,17,-46.0,0.3,y
train,swiperight,james,17,-7.0,0.3,z
train,swiperight,james,17,5.0,0.4,x
train,swiperight,james,17,-3.0,0.4,y
train,swiperight,james,17,-9.0,0.4,z
train,swiperight,james,17,-8.0,0.5,x
train,swiperight,james,17,46.0,0.5,y
train,swiperight,james,17,-34.0,0.5,z
train,swiperight,james,17,-20.0,0.6,x
train,swiperight,james,17,7.0,0.6,y
train,swiperight,james,17,-27.0,0.6,z
train,swiperight,james,17,-20.0,0.7,x
train,swiperight,james,17,5.0,0.7,y
train,swiperight,james,17,-23.0,0.7,z
train,swiperight,james,17,-20.0,0.8,x
train,swiperight,james,17,10.0,0.8,y
train,swiperight,james,17,-21.0,0.8,z
